country,year,world_rank,cwur_world_rank,cwur_national_rank,teaching,international,research,citations,num_students,student_staff_ratio,international_students,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
Taiwan,2014,669.16,744.68,13.0,31.2,39.98,31.37,54.17,17713.6,16.12,0.11,329.64,402.48,210.0,14868,19796,17404,18592,17240,44.96
Taiwan,2015,654.19,704.67,11.0,31.56,39.64,31.88,53.06,17714.48,16.15,0.11,336.52,444.86,218.0,11330,16080,13782,14746,16899,44.9
Thailand,2012,350.0,350.0,2.0,29.9,45.0,14.7,20.9,27402.0,7.5,0.03,361.0,522.0,214.0,478,369,387,444,799,45.0
Thailand,2013,351.0,351.0,18.0,11.3,23.8,10.2,68.4,17791.0,23.7,0.01,355.0,424.0,210.0,404,404,368,402,426,45.0
Thailand,2014,501.25,501.25,6.0,27.62,43.05,21.48,55.38,21773.75,15.9,0.08,355.0,357.75,210.0,2301,2228,1789,2229,2637,45.25
Thailand,2015,503.0,503.0,6.0,28.55,42.58,21.35,55.28,21773.75,15.9,0.08,364.0,399.5,216.0,2311,2263,1758,2161,3029,45.0
Turkey,2012,263.5,263.5,5.25,28.62,31.78,22.28,47.62,23196.5,19.85,0.08,361.0,372.0,214.0,2798,3337,2080,3031,3126,44.25
Turkey,2013,241.0,241.0,7.8,35.24,36.06,31.64,56.98,19454.8,18.8,0.08,359.8,382.4,213.2,3202,3741,2448,3433,3552,44.4
Turkey,2014,526.36,717.36,6.64,29.97,47.87,27.02,67.62,20270.91,17.38,0.11,345.91,414.27,210.0,7671,8395,5649,7836,7696,44.73
Turkey,2015,470.0,661.75,7.58,31.88,48.12,30.22,72.26,18809.92,17.26,0.11,355.5,441.5,216.67,8155,8773,6490,7959,9483,44.25
USA,2012,62.6,62.6,40.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,48.0,83.8,61.8,478,301,419,605,488,50.8
USA,2013,56.5,56.5,37.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,75.75,101.0,48.75,335,152,284,203,399,49.25
